發生年,發生月,發生日,發生時,發生分,處理別,區序,肇事地點,死亡人數,受傷人數,當事人序,車種,性別,年齡,受傷程度,天候,速限,道路型態,事故位置
101,5,8,22,10,2,01大同區,大同區承德路3段與承德橋口承德路3段承德橋往士林機慢車道,0,2,1,C03,1,31,2,8,50,14,11
101,5,8,22,10,2,01大同區,大同區承德路3段與承德橋口承德路3段承德橋往士林機慢車道,0,2,2,F01,2,57,2,8,50,14,11
101,5,14,19,10,2,01大同區,大同區重慶北路3段389號,0,1,1,B03,2,54,3,8,50,14,9
101,4,20,22,25,2,01大同區,大同區環河快速道路環河快速道路接市民高架匝道,0,1,1,B03,1,27,3,6,40,11,9
101,4,20,22,25,2,01大同區,大同區環河快速道路環河快速道路接市民高架匝道,0,1,2,B03,1,27,3,6,40,11,9
101,4,20,22,25,2,01大同區,大同區環河快速道路環河快速道路接市民高架匝道,0,1,3,B01,1,46,2,6,40,11,9
101,4,20,22,25,2,01大同區,大同區環河快速道路環河快速道路接市民高架匝道,0,1,4,B03,1,61,3,6,40,11,9
101,10,26,18,30,2,01大同區,大同區錦西街38巷,0,1,1,C03,2,33,3,8,50,3,1
101,10,26,18,30,2,01大同區,大同區錦西街38巷,0,1,2,C04,2,45,2,8,50,3,1
101,11,9,15,20,2,01大同區,大同區承德路3段與庫倫街口承德路3段 庫倫街,0,1,1,B03,1,62,3,8,50,4,18
101,11,9,15,20,2,01大同區,大同區承德路3段與庫倫街口承德路3段 庫倫街,0,1,2,H01,2,71,2,8,50,4,18
101,11,9,22,10,2,01大同區,大同區重慶北路3段重慶北路3段223巷口,0,2,1,B01,1,56,2,8,40,3,1
101,11,9,22,10,2,01大同區,大同區重慶北路3段重慶北路3段223巷口,0,2,2,,3,,,8,40,3,1
101,11,9,22,10,2,01大同區,大同區重慶北路3段重慶北路3段223巷口,0,2,3,H02,2,41,2,8,40,3,1
101,4,13,22,15,2,01大同區,大同區通河西街1段通河西街1段大龍抽水站旁第278號燈桿,0,1,1,C03,2,24,2,7,40,14,9
101,4,13,22,15,2,01大同區,大同區通河西街1段通河西街1段大龍抽水站旁第278號燈桿,0,1,2,B03,1,24,3,7,40,14,9
101,4,15,2,20,2,01大同區,大同區鄭州路137號,0,1,1,C03,2,21,2,7,40,14,9
101,4,15,2,20,2,01大同區,大同區鄭州路137號,0,1,2,B01,1,36,3,7,40,14,9
101,4,16,12,14,2,01大同區,大同區民生西路與重慶北路口重慶北路 民生西路,0,1,1,B12,1,48,3,6,50,14,9
101,4,16,12,14,2,01大同區,大同區民生西路與重慶北路口重慶北路 民生西路,0,1,2,C04,2,58,2,6,50,14,9
101,4,23,19,25,2,01大同區,大同區民權西路與重慶北路口民權西路 重慶北路,0,2,1,C03,1,32,2,7,50,14,9
101,4,23,19,25,2,01大同區,大同區民權西路與重慶北路口民權西路 重慶北路,0,2,2,C03,1,70,2,7,50,14,9
101,1,21,20,35,2,01大同區,大同區延平北路與涼州街口延平北路 涼州街,0,2,1,B03,1,43,3,7,50,4,1
101,1,21,20,35,2,01大同區,大同區延平北路與涼州街口延平北路 涼州街,0,2,2,C03,1,21,2,7,50,4,1
101,1,21,20,35,2,01大同區,大同區延平北路與涼州街口延平北路 涼州街,0,2,3,H02,2,21,2,7,50,4,1
101,1,22,5,10,2,01大同區,大同區民權西路與延平北路口延平北路 民權西路,0,3,1,B12,1,63,2,6,50,4,1
101,1,22,5,10,2,01大同區,大同區民權西路與延平北路口延平北路 民權西路,0,3,2,C03,2,21,2,6,50,4,1
101,1,22,5,10,2,01大同區,大同區民權西路與延平北路口延平北路 民權西路,0,3,3,H02,2,24,2,6,50,4,1
101,1,29,4,0,2,01大同區,大同區延平北路與涼州街口延平北路 涼州街,0,2,1,C03,1,49,2,6,50,4,1
101,1,29,4,0,2,01大同區,大同區延平北路與涼州街口延平北路 涼州街,0,2,2,C03,1,28,2,6,50,4,1
101,1,31,11,30,2,01大同區,大同區長安西路與承德路口承德路 長安西路,0,1,1,B03,1,,4,7,50,4,1
101,1,31,11,30,2,01大同區,大同區長安西路與承德路口承德路 長安西路,0,1,2,C03,1,21,2,7,50,4,1
101,2,8,5,55,2,01大同區,大同區民權西路與延平北路口延平北路 民權西路,0,1,1,C03,2,58,2,7,50,4,1
101,2,8,5,55,2,01大同區,大同區民權西路與延平北路口延平北路 民權西路,0,1,2,B03,1,25,3,7,50,4,1
101,1,19,19,45,2,01大同區,大同區南京西路南京西路302巷8號前,0,1,1,B03,1,28,3,7,30,14,9
101,1,19,19,45,2,01大同區,大同區南京西路南京西路302巷8號前,0,1,2,C03,2,29,2,7,30,14,9
101,2,17,7,35,2,01大同區,大同區民權西路與台北橋口民權西路台北橋機慢車道,0,2,1,C03,1,48,2,7,40,3,1
101,2,17,7,35,2,01大同區,大同區民權西路與台北橋口民權西路台北橋機慢車道,0,2,2,F01,2,54,2,7,40,3,1
101,2,17,7,35,2,01大同區,大同區民權西路與台北橋口民權西路台北橋機慢車道,0,2,3,C03,1,52,3,7,40,3,1
101,2,18,10,41,2,01大同區,大同區民權西路與台北橋口民權西路(台北橋機慢車道),0,3,1,C03,1,100,4,7,40,12,11
101,2,18,10,41,2,01大同區,大同區民權西路與台北橋口民權西路(台北橋機慢車道),0,3,2,H02,1,16,2,7,40,12,11
101,2,18,10,41,2,01大同區,大同區民權西路與台北橋口民權西路(台北橋機慢車道),0,3,3,H02,1,,4,7,40,12,11
101,3,2,18,35,2,01大同區,大同區民權西路民權西路184巷 民權西路160巷23弄,0,2,1,C03,2,23,2,7,30,4,1
101,3,2,18,35,2,01大同區,大同區民權西路民權西路184巷 民權西路160巷23弄,0,2,2,C03,1,35,2,7,30,4,1
101,3,12,8,30,2,01大同區,大同區民族西路延平北路 鄭州路,0,1,1,B03,1,,4,7,50,4,1
101,3,12,8,30,2,01大同區,大同區民族西路延平北路 鄭州路,0,1,2,C03,1,47,2,7,50,4,1
101,1,30,19,10,2,01大同區,大同區長安西路211號,0,1,1,B03,1,,4,7,0,14,9
101,1,30,19,10,2,01大同區,大同區長安西路211號,0,1,2,C03,1,34,2,7,0,14,9
101,1,18,8,25,2,01大同區,大同區大龍街大龍街159巷 大龍街159巷9弄,0,2,1,C03,1,45,2,7,0,4,1
101,1,18,8,25,2,01大同區,大同區大龍街大龍街159巷 大龍街159巷9弄,0,2,2,C03,2,40,2,7,0,4,1
101,2,25,23,7,2,01大同區,大同區哈密街哈密街23巷1號前,0,1,1,C03,1,26,4,6,0,3,2
101,2,25,23,7,2,01大同區,大同區哈密街哈密街23巷1號前,0,1,2,H01,2,56,2,6,0,3,2
101,3,6,22,10,2,01大同區,大同區市民大道與承德路口承德路 市民大道,0,1,1,B01,1,48,3,8,0,5,1
101,3,6,22,10,2,01大同區,大同區市民大道與承德路口承德路 市民大道,0,1,2,C03,1,19,2,8,0,5,1
101,3,21,10,45,2,01大同區,大同區西寧北路與鄭州路口西寧北路 鄭州路口前,0,2,1,B03,2,33,3,7,0,14,9
101,3,21,10,45,2,01大同區,大同區西寧北路與鄭州路口西寧北路 鄭州路口前,0,2,2,C03,1,30,2,7,0,14,9
101,3,21,10,45,2,01大同區,大同區西寧北路與鄭州路口西寧北路 鄭州路口前,0,2,3,H02,1,41,2,7,0,14,9
101,2,5,13,54,2,01大同區,大同區承德路2段164號,0,1,1,C04,2,41,2,8,50,14,9
101,2,5,13,54,2,01大同區,大同區承德路2段164號,0,1,2,B03,2,34,3,8,50,14,9
101,3,3,13,30,2,01大同區,大同區台北橋台北橋往三重機車道,0,2,1,C03,1,43,2,8,40,10,11
101,3,3,13,30,2,01大同區,大同區台北橋台北橋往三重機車道,0,2,2,C03,2,24,2,8,40,10,11
101,3,3,20,30,2,01大同區,大同區長安西路與塔城街口長安西路 塔城街,0,1,1,B03,1,49,3,7,50,4,18
101,3,3,20,30,2,01大同區,大同區長安西路與塔城街口長安西路 塔城街,0,1,2,H01,1,65,2,7,50,4,18
101,4,2,1,25,2,01大同區,大同區民權西路125號,0,1,1,G06,1,,4,7,50,14,9
101,4,2,1,25,2,01大同區,大同區民權西路125號,0,1,2,C03,1,23,2,7,50,14,9
101,4,3,11,27,2,01大同區,大同區台北橋台北橋機車道(往三重),0,4,1,C03,1,59,2,8,50,14,11
101,4,3,11,27,2,01大同區,大同區台北橋台北橋機車道(往三重),0,4,2,C03,1,64,2,8,50,14,11
101,4,3,11,27,2,01大同區,大同區台北橋台北橋機車道(往三重),0,4,3,H02,2,55,2,8,50,14,11
101,4,3,11,27,2,01大同區,大同區台北橋台北橋機車道(往三重),0,4,4,H02,2,61,2,8,50,14,11
101,4,10,20,55,2,01大同區,大同區承德路3段承德路3段99巷口,0,1,1,B03,1,46,3,7,50,3,1
101,4,10,20,55,2,01大同區,大同區承德路3段承德路3段99巷口,0,1,2,C03,1,18,2,7,50,3,1
101,4,11,22,52,2,01大同區,大同區民權西路與承德路口承德路 民權西路,0,1,1,C03,1,21,2,1,50,4,1
101,4,11,22,52,2,01大同區,大同區民權西路與承德路口承德路 民權西路,0,1,2,B03,2,31,3,1,50,4,1
101,4,12,18,25,2,01大同區,大同區保安街保安街49巷口,0,1,1,C03,1,49,3,7,50,4,1
101,4,12,18,25,2,01大同區,大同區保安街保安街49巷口,0,1,2,C03,1,54,3,7,50,4,1
101,4,12,18,25,2,01大同區,大同區保安街保安街49巷口,0,1,3,B02,1,51,3,7,50,4,1
101,4,12,18,25,2,01大同區,大同區保安街保安街49巷口,0,1,4,H02,2,54,2,7,50,4,1
101,4,26,17,25,2,01大同區,大同區民權西路213號,0,1,1,C03,2,30,2,6,50,14,9
101,2,26,23,0,2,01大同區,大同區民權西路與蘭州街口民權西路 蘭州街,0,1,1,B03,1,18,3,7,50,4,1
101,2,26,23,0,2,01大同區,大同區民權西路與蘭州街口民權西路 蘭州街,0,1,2,C03,1,21,2,7,50,4,1
101,2,27,23,45,2,01大同區,大同區寧夏路寧夏路23之4號前,0,1,1,B03,1,55,4,7,40,3,2
101,2,27,23,45,2,01大同區,大同區寧夏路寧夏路23之4號前,0,1,2,H01,1,43,2,7,40,3,2
101,3,20,8,30,2,01大同區,大同區堤外便道堤外便道,0,2,1,C03,1,32,2,7,30,11,11
101,3,20,8,30,2,01大同區,大同區堤外便道堤外便道,0,2,2,C03,2,41,2,7,30,11,11
101,2,1,9,15,2,01大同區,大同區承德橋承德橋北往南,0,2,1,B03,1,33,3,8,50,8,9
101,2,1,9,15,2,01大同區,大同區承德橋承德橋北往南,0,2,2,B03,1,35,2,8,50,8,9
101,2,1,9,15,2,01大同區,大同區承德橋承德橋北往南,0,2,3,B03,1,44,2,8,50,8,9
101,2,3,18,30,2,01大同區,大同區承德路與承德橋口承德路承德橋往北,0,2,1,C03,1,21,2,6,50,8,11
101,2,3,18,30,2,01大同區,大同區承德路與承德橋口承德路承德橋往北,0,2,2,H01,2,60,2,6,50,8,11
101,2,23,11,50,2,01大同區,大同區大龍街75號,0,1,1,C04,2,69,2,6,50,14,9
101,2,23,11,50,2,01大同區,大同區大龍街75號,0,1,2,B01,1,49,3,6,50,14,9
101,2,23,11,50,2,01大同區,大同區大龍街75號,0,1,3,B12,1,41,3,6,50,14,9
101,2,28,23,40,2,01大同區,大同區承德路與南京西路口承德路 南京西路,0,1,1,B01,1,56,3,7,50,4,2
101,2,28,23,40,2,01大同區,大同區承德路與南京西路口承德路 南京西路,0,1,2,H01,2,58,2,7,50,4,2
101,3,1,10,30,2,01大同區,大同區太原路52號,0,1,1,B03,2,46,3,8,50,14,9
101,3,1,10,30,2,01大同區,大同區太原路52號,0,1,2,H01,1,39,2,8,50,14,9
101,3,19,14,0,2,01大同區,大同區延平北路4段111巷,0,1,1,B03,1,28,3,7,50,3,2
101,3,19,14,0,2,01大同區,大同區延平北路4段111巷,0,1,2,C03,2,28,2,7,50,3,2
101,2,29,9,0,2,01大同區,大同區太原路與民生西路口太原路 民生西路,0,1,1,B03,1,39,3,7,50,3,1
101,2,29,9,0,2,01大同區,大同區太原路與民生西路口太原路 民生西路,0,1,2,C03,1,27,2,7,50,3,1
101,2,29,15,26,2,01大同區,大同區環河北路2段環河北路2段145巷口,0,1,1,C03,1,60,4,8,50,3,1
101,2,29,15,26,2,01大同區,大同區環河北路2段環河北路2段145巷口,0,1,2,C04,1,72,2,8,50,3,1
101,2,29,17,55,2,01大同區,大同區民族西路民族西路187巷口,0,1,1,B03,2,29,3,7,50,4,1
101,2,29,17,55,2,01大同區,大同區民族西路民族西路187巷口,0,1,2,C03,1,49,2,7,50,4,1
101,3,3,14,50,2,01大同區,大同區民生西路與雙連街口民生西路 雙連街,0,1,1,B03,1,53,3,8,50,4,1
101,3,3,14,50,2,01大同區,大同區民生西路與雙連街口民生西路 雙連街,0,1,2,C03,1,52,2,8,50,4,1
101,3,3,16,24,2,01大同區,大同區民權西路與蘭州街口民權西路 蘭州街,0,2,1,C04,1,52,2,8,50,4,1
101,3,3,16,24,2,01大同區,大同區民權西路與蘭州街口民權西路 蘭州街,0,2,2,C03,2,59,2,8,50,4,1
101,3,4,7,10,2,01大同區,大同區重慶北路3段318號,0,1,1,B12,1,24,3,8,50,14,9
101,3,4,7,10,2,01大同區,大同區重慶北路3段318號,0,1,2,C03,2,44,2,8,50,14,9
101,3,4,7,10,2,01大同區,大同區重慶北路3段318號,0,1,3,A04,1,42,3,8,50,14,9
101,3,4,15,15,2,01大同區,大同區哈密街哈密街45巷1弄口,0,1,1,B12,1,32,3,8,30,3,1
101,3,4,15,15,2,01大同區,大同區哈密街哈密街45巷1弄口,0,1,2,H01,2,3,2,8,30,3,1
101,3,5,7,8,2,01大同區,大同區環河北路1段193號,0,2,1,C03,1,41,2,8,50,14,9
101,3,5,7,8,2,01大同區,大同區環河北路1段193號,0,2,2,C03,1,65,2,8,50,14,9
101,3,5,14,48,2,01大同區,大同區民族西路與環河北路口環河北路 民族西路,0,2,1,B03,1,55,3,8,50,4,2
101,3,5,14,48,2,01大同區,大同區民族西路與環河北路口環河北路 民族西路,0,2,2,C03,1,32,2,8,50,4,2
